Text Prompt,Mood Issue,Sleep Issue,Anxiety Issue,Depression,Eating Disorder,Panic Disorder,Obsessive-Compulsive,Hallucinations,Self-Harm,Bipolar Disorder,PTSD,Suicidal Thoughts,Explanation
I get panic attacks in crowded places.,0,0,1,0,0,1,0,0,0,0,0,0,Suggests agoraphobia and panic attacks in crowds.
I've been emotionally detached and unable to connect with others.,1,0,1,0,0,0,0,0,0,0,0,0,Indicates emotional detachment and social isolation.
I can't stop worrying about germs and cleanliness.,0,0,1,0,0,0,1,0,0,0,0,0,Signs of germophobia and obsessive cleaning.
I feel like I'm losing my mind and reality is slipping away.,1,0,1,0,0,0,0,0,0,0,0,0,Suggests anxiety and derealization.
I've been engaging in risky sexual behaviors.,1,0,0,0,0,0,0,0,0,0,0,0,Indicates risky sexual behavior as a coping mechanism.
I have disturbing nightmares and trouble sleeping.,0,1,1,0,0,0,0,0,0,0,1,0,Suggests sleep disturbances and nightmares.
I'm constantly comparing myself to others on social media.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates social comparison and self-esteem issues.
I experience physical pain and fatigue for no apparent reason.,1,1,0,1,0,0,0,0,0,0,0,0,Signs of somatic symptoms and depression.
I've been avoiding places that remind me of past traumas.,0,0,1,0,0,0,0,0,0,0,1,0,Suggests trauma-related avoidance.
I feel like my body doesn't belong to me.,0,0,0,0,0,0,0,0,0,0,0,0,Signs of depersonalization.
I've been hoarding useless items and can't let go.,0,0,0,0,0,0,1,0,0,0,0,0,Indicates hoarding tendencies and difficulty discarding items.
I can't escape feelings of guilt and worthlessness.,1,0,0,1,0,0,0,0,0,0,0,0,Signs of guilt and worthlessness.
I constantly feel on edge and have trouble relaxing.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests chronic anxiety and tension.
I have an intense fear of needles and medical procedures.,0,0,1,0,0,0,0,0,0,0,0,0,Signs of needle phobia.
I'm convinced that people are plotting against me.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates paranoid thoughts and distrust.
I've been using alcohol as a way to escape my problems.,1,0,1,0,0,0,0,0,0,0,0,0,Indicates alcohol use as a coping mechanism.
I experience visual hallucinations and see things that aren't there.,0,0,0,0,0,0,0,1,0,0,0,0,Indicates visual hallucinations.
I've been spending excessively and getting into debt.,1,0,0,1,0,0,0,0,0,0,0,0,Signs of impulsive spending and depression.
I'm constantly replaying past mistakes in my mind.,0,0,0,0,0,0,0,0,0,0,0,0,Suggests rumination and self-criticism.
I'm losing touch with reality and hearing voices.,0,0,0,0,0,0,0,1,0,0,0,0,Indicates auditory hallucinations and potential psychosis.
I've been isolating myself and avoiding social contact.,1,0,1,0,0,0,0,0,0,0,0,0,Suggests social isolation and withdrawal.
I can't stop thinking about hurting myself.,0,0,0,0,0,0,0,1,0,0,0,0,Indicates thoughts of self-harm.
I constantly feel like I'm being watched and monitored.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates paranoid thoughts and surveillance concerns.
I've been engaging in dangerous thrill-seeking behaviors.,1,0,1,0,0,0,0,0,0,0,0,0,Suggests thrill-seeking behaviors as a coping mechanism.
I have vivid flashbacks of a traumatic accident.,0,0,1,0,0,0,0,0,0,0,1,0,Indicates traumatic flashbacks and potential PTSD.
I feel disconnected from my emotions and can't experience joy.,1,0,0,1,0,0,0,0,0,0,0,0,Signs of emotional detachment and depression.
I've been avoiding mirrors due to body image concerns.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates body image dissatisfaction and avoidance.
I'm constantly questioning my gender identity.,0,0,0,0,0,0,0,0,0,0,0,0,Signs of gender identity questioning.
I'm overwhelmed by my responsibilities and can't keep up.,1,0,1,0,0,0,0,0,0,0,0,0,Indicates feeling overwhelmed by life's demands.
I experience memory lapses and have trouble concentrating.,0,1,0,0,0,0,0,0,0,0,0,0,Suggests memory issues and difficulty concentrating.
My relationships are strained due to my jealousy and distrust.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates jealousy and trust issues in relationships.
I have difficulty trusting others and forming close bonds.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates trust issues and difficulty forming close relationships.
I'm experiencing religious delusions and believe I'm a prophet.,0,0,0,0,0,0,0,0,0,0,0,0,Signs of religious delusions and grandiosity.
I'm constantly haunted by memories of a traumatic incident.,0,0,1,0,0,0,0,0,0,0,1,0,Suggests traumatic memories and potential PTSD.
I feel like I'm a burden to everyone around me.,1,0,0,1,0,0,0,0,0,0,0,0,Signs of self-perceived burden and depression.
I can't stop using social media and feel addicted.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests social media addiction and dependency.
I've been having trouble controlling my impulses.,1,0,0,0,0,0,0,0,0,1,0,0,Signs of impulse control issues and potential bipolar disorder.
I'm overwhelmed by constant fear and anxiety.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests chronic fear and anxiety.
I can't shake this constant feeling of worry and FOMO.,0,0,1,0,0,1,0,0,0,0,0,0,Indicates constant anxiety and fear of missing out.
"I'm totally exhausted, can't sleep, and my brain feels fried.",0,1,0,0,0,0,0,0,0,0,0,0,Suggests sleep deprivation and cognitive fatigue.
"I've got this constant knot in my stomach, and life feels like a mess.",0,0,1,0,0,0,0,0,0,0,0,0,Indicates persistent anxiety and life stress.
"I'm in a funk, can't find joy in anything, and it's eating me up.",1,0,0,1,0,0,0,0,0,0,0,0,Signs of emotional emptiness and depression.
I can't focus on anything for more than a hot minute.,0,1,0,0,0,0,0,0,0,0,0,0,Indicates attention difficulties and restlessness.
"I'm having panic attacks like, all the time, it's freaking me out.",0,0,1,0,0,1,0,0,0,0,0,0,Suggests frequent panic attacks and anxiety.
I hear these voices in my head that freak me out big time.,0,0,0,0,0,0,1,0,0,0,0,0,Indicates auditory hallucinations.
"I'm always on edge, snapping at people left and right.",0,0,1,0,0,0,0,0,0,0,0,0,Suggests irritability and potential anxiety.
"I can't stop checking stuff, it's like a bad habit, ya know.",0,0,0,0,0,0,1,0,0,0,0,0,Indicates obsessive-compulsive tendencies.
"It's like I'm watching my life from the sidelines, so weird.",0,0,0,0,0,0,0,0,0,0,0,0,Signs of depersonalization or disconnection.
I'm eating like a bottomless pit and then feeling guilty as hell.,0,1,0,0,1,0,0,0,0,0,0,0,Indicates binge eating and guilt.
I'm scared to leave my crib 'cause panic might hit me.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests agoraphobia and fear of leaving home.
"I'm always second-guessing myself and my abilities, it's a drag.",0,0,0,0,0,0,0,0,0,0,0,0,Signs of low self-esteem and self-doubt.
"I've been cutting myself to deal, it's messed up, I know.",0,0,0,0,0,0,0,0,1,0,0,0,Indicates self-harm as a coping mechanism.
"My mood's a rollercoaster, going from crazy highs to lows.",1,0,0,0,0,0,0,0,0,1,0,0,Signs of extreme mood swings
"I can't even get out of bed or shower, life's a blur.",1,1,0,1,0,0,0,0,0,0,0,0,Indicates severe depression and difficulty with daily tasks.
"I'm getting pissed off over the smallest things, it's annoying.",0,0,0,0,0,0,0,0,0,0,0,0,Suggests difficulty with anger management.
"I'm always tired, no energy to do squat, it's like a drag.",0,1,0,1,0,0,0,0,0,0,0,0,Signs of fatigue
I'm too scared to step outside without thinking the worst will happen.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates anxiety related to safety concerns.
"I feel like I'm a burden, worthless, can't do no good.",1,0,0,1,0,0,0,0,0,0,0,0,Signs of low self-worth and potential depression.
"I've been using stuff to numb my feelings, it's a mess.",1,0,1,1,0,0,0,0,0,0,1,0,Indicates substance abuse as a coping mechanism.
"I can't shake off the bad memories, they haunt me.",0,0,1,0,0,0,0,0,0,0,1,0,Suggests symptoms of post-traumatic stress disorder (PTSD).
"I'm always suspicious of people's motives, can't trust anyone.",0,0,1,0,0,0,0,0,0,0,0,0,Suggests paranoid tendencies and distrust.
"I've got thoughts of ending it all, it's getting heavy.",0,0,0,0,0,0,0,0,0,0,0,1,Indicates suicidal thoughts and potential risk.
"I can't stop hating on myself, it's like a broken record.",0,0,0,0,0,0,0,0,0,0,0,0,Signs of negative self-talk and self-criticism.
"I'm confused about my gender identity, it's a real struggle.",0,0,0,0,0,0,0,0,0,0,0,0,Signs of gender identity confusion.
"I'm drowning in responsibilities, can't keep my head above water.",1,0,1,0,0,0,0,0,0,0,0,0,Indicates feeling overwhelmed by life's demands.
"I forget stuff all the time, can't remember jack.",0,1,0,0,0,0,0,0,0,0,0,0,Suggests memory issues and potential cognitive difficulties.
"My relationships are falling apart, can't keep the peace.",0,0,1,0,0,0,0,0,0,0,0,0,Indicates difficulties in interpersonal relationships.
"I'm obsessed with my looks, can't stop seeing flaws.",0,0,1,0,0,0,0,0,0,0,0,0,Signs of body dysmorphic concerns.
"I struggle to trust people, feel like they'll let me down.",0,0,1,0,0,0,0,0,0,0,0,0,Indicates trust issues and difficulty in building trust with others.
"I'm seeing things, like visions, it's freaking me out.",0,0,0,0,0,0,0,1,0,0,0,0,Indicates visual hallucinations.
"I'm eaten up by guilt and regret, can't shake it off.",1,0,0,1,0,0,0,0,0,0,0,0,Indicates feelings of guilt and regret.
"I'm always jittery, on edge, can't calm down.",0,0,1,0,0,0,0,0,0,0,0,0,Suggests anxiety-related nervousness and restlessness.
"I'm petrified of specific things, can't even go near them.",0,0,1,0,0,0,0,0,0,0,0,0,Signs of specific phobias.
"I feel like I'm being watched and followed, it's creepy.",0,0,1,0,0,0,0,0,0,0,0,0,Indicates paranoid thoughts and surveillance concerns.
"I've been doing risky stuff, it's like I don't care anymore.",1,0,1,0,0,0,0,0,0,0,0,0,Suggests risky behaviors as a form of self-destructive coping.
"I have vivid flashbacks of a traumatic event, can't escape it.",0,0,1,0,0,0,0,0,0,0,1,0,Indicates traumatic flashbacks and potential PTSD symptoms.
"I feel like I'm never good enough for anyone, it's a pain.",0,0,0,0,0,0,0,0,0,0,0,0,Signs of low self-esteem and perfectionism.
"I'm struggling with substance addiction, it's taking over.",1,0,1,0,0,0,0,0,0,0,0,0,Indicates substance addiction as an issue.
"I'm a freak about cleanliness, can't stand a mess.",0,0,0,0,0,0,1,0,0,0,0,0,Signs of obsessive-compulsive disorder (OCD).
"I can't stop thinking about hurting others, it's messed up.",0,0,0,0,0,0,0,1,0,0,0,0,Indicates intrusive thoughts of harm.
"I'm always craving validation from others, it's exhausting.",0,0,1,0,0,0,0,0,0,0,0,0,Suggests a need for external validation.
"I'm hopeless, life feels meaningless, can't find purpose.",1,0,0,1,0,0,0,0,0,0,0,0,Signs of hopelessness and existential distress.
"I've been isolating myself from everyone, it's lonely.",1,0,1,0,0,0,0,0,0,0,0,0,Suggests social isolation and withdrawal.
"I can't control my thoughts, they're all over the place.",0,0,0,0,0,0,0,1,0,0,0,0,Indicates difficulty controlling intrusive thoughts.
"I'm buried in guilt and shame, it's unbearable.",1,0,0,1,0,0,0,0,0,0,0,0,Indicates overwhelming guilt and shame.
"I'm always on edge, anxious about everything, it's exhausting.",0,0,1,0,0,0,0,0,0,0,0,0,Suggests chronic anxiety and hypervigilance.
"I'm stuck with intense fears of certain things, it's scary.",0,0,1,0,0,0,0,0,0,0,0,0,Signs of specific phobias.
"I feel like I'm being monitored, it's a paranoia trip.",0,0,1,0,0,0,0,0,0,0,0,0,Indicates paranoid thoughts and surveillance concerns.
"I've been doing reckless stuff, it's like I'm daring life.",1,0,1,0,0,0,0,0,0,0,0,0,Suggests reckless behaviors as a form of self-destructive coping.
"I have vivid flashbacks of a traumatic accident, it's haunting.",0,0,1,0,0,0,0,0,0,0,1,0,Indicates traumatic flashbacks and potential PTSD.
"I feel detached from my emotions, can't feel joy anymore.",1,0,0,1,0,0,0,0,0,0,0,0,Signs of emotional detachment and depression.
"I'm avoiding mirrors like the plague, hate what I see.",0,0,1,0,0,0,0,0,0,0,0,0,Indicates body image dissatisfaction and avoidance.
"I'm always doubting myself and my abilities, it's exhausting.",0,0,0,0,0,0,0,0,0,0,0,0,Signs of self-doubt and self-criticism.
"I'm overwhelmed by my responsibilities, it's a constant struggle.",1,0,1,0,0,0,0,0,0,0,0,0,Indicates feeling overwhelmed by life's demands.
"I can't remember stuff, it's like my brain's on the fritz.",0,1,0,0,0,0,0,0,0,0,0,0,Suggests memory issues and difficulty concentrating.
"My jealousy is wrecking my relationships, can't control it.",0,0,1,0,0,0,0,0,0,0,0,0,Indicates jealousy and trust issues in relationships.
"I'm obsessed with my looks, can't stop nitpicking flaws.",0,0,1,0,0,0,0,0,0,0,0,0,Signs of body dysmorphic concerns.
"I struggle to trust people, feel like they'll stab me in the back.",0,0,1,0,0,0,0,0,0,0,0,0,Indicates trust issues and difficulty forming close relationships.
"I'm experiencing religious delusions, believe I'm a prophet.",0,0,0,0,0,0,0,0,0,0,0,0,Signs of religious delusions and grandiosity.
"I'm haunted by memories of a traumatic incident, can't escape them.",0,0,1,0,0,0,0,0,0,0,1,0,Suggests traumatic memories and potential PTSD.
"I feel like I'm a burden to everyone around me, it's heavy.",1,0,0,1,0,0,0,0,0,0,0,0,Signs of self-perceived burden and depression.
"I can't stop scrolling social media, it's like an addiction.",0,0,1,0,0,0,0,0,0,0,0,0,Suggests social media addiction and dependency.
"I can't control my impulses, it's like I'm on a rollercoaster.",1,0,0,0,0,0,0,0,0,1,0,0,Signs of impulse control issues and potential bipolar disorder.
"I'm drowning in fear and anxiety, it's suffocating.",0,0,1,0,0,0,0,0,0,0,0,0,Suggests chronic fear and anxiety.
"I'm constantly stressed AF, can't catch a break.",0,0,1,0,0,0,0,0,0,0,0,0,Indicates constant stress and anxiety.
"I'm so damn tired, my sleep's a mess, and I'm feeling down.",0,1,0,1,0,0,0,0,0,0,0,0,Suggests sleep issues and depression.
"I'm always on the edge, like everything's a big deal.",0,0,1,0,0,0,0,0,0,0,0,0,Suggests constant anxiety and hyperarousal.
My life is like a never-ending storm of sadness.,1,0,0,1,0,0,0,0,0,0,0,0,Signs of persistent depression and emotional turmoil.
"I can't concentrate on anything, my mind's all over the place.",0,1,0,0,0,0,0,0,0,0,0,0,Indicates attention difficulties and scatterbrain.
"I get these panic attacks outta nowhere, it's freaky.",0,0,1,0,0,1,0,0,0,0,0,0,Suggests sudden panic attacks and anxiety.
"I'm hearing stuff in my head, it's tripping me out.",0,0,0,0,0,0,1,0,0,0,0,0,Indicates auditory hallucinations.
"I'm always irritable, like a ticking time bomb.",0,0,1,0,0,0,0,0,0,0,0,0,Suggests irritability and potential anxiety.
"I can't stop my compulsions, it's a never-ending cycle.",0,0,0,0,0,0,1,0,0,0,0,0,Indicates obsessive-compulsive tendencies.
"I feel like I'm observing my life from the sidelines, it's surreal.",0,0,0,0,0,0,0,0,0,0,0,0,Signs of depersonalization or disconnection.
"I binge-eat like there's no tomorrow, then guilt hits.",0,1,0,0,1,0,0,0,0,0,0,0,Indicates binge eating and guilt.
I'm scared to leave my place 'cause panic might strike.,0,0,1,0,0,0,0,0,0,0,0,0,Suggests agoraphobia and fear of leaving home.
"I'm always questioning myself and my abilities, it's a struggle.",0,0,0,0,0,0,0,0,0,0,0,0,Signs of self-doubt and insecurity.
"I've been resorting to self-harm to cope, it's bad.",0,0,0,0,0,0,0,0,1,0,0,0,Indicates self-harm as a coping mechanism.
"My mood swings are wild, like a rollercoaster ride.",1,0,0,0,0,0,0,0,0,1,0,0,Signs of extreme mood swings
"I can't even get out of bed or shower, it's a mess.",1,1,0,1,0,0,0,0,0,0,0,0,Indicates severe depression and difficulty with daily tasks.
"I get angry over the tiniest things, it's annoying AF.",0,0,0,0,0,0,0,0,0,0,0,0,Suggests difficulty with anger management.
"I'm always tired, no energy, life's a constant drag.",0,1,0,1,0,0,0,0,0,0,0,0,Signs of fatigue
I can't leave my place without fearing the worst.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates anxiety related to safety concerns.
"I feel worthless, like a burden, can't do anything right.",1,0,0,1,0,0,0,0,0,0,0,0,Signs of low self-worth and potential depression.
"I can't shake off the traumatic memories, they haunt me.",0,0,1,0,0,0,0,0,0,0,1,0,Suggests symptoms of post-traumatic stress disorder (PTSD).
"I've got thoughts of ending it all, it's overwhelming.",0,0,0,0,0,0,0,0,0,0,0,1,Indicates suicidal thoughts and potential risk.
"I can't stop trashing myself, it's like a broken record.",0,0,0,0,0,0,0,0,0,0,0,0,Signs of negative self-talk and self-criticism.
"I'm struggling with my gender identity, it's a maze.",0,0,0,0,0,0,0,0,0,0,0,0,Signs of gender identity questioning.
"I'm overwhelmed by my responsibilities, can't keep up.",1,0,1,0,0,0,0,0,0,0,0,0,Indicates feeling overwhelmed by life's demands.
"I keep forgetting stuff, it's like my brain's on vacation.",0,1,0,0,0,0,0,0,0,0,0,0,Suggests memory issues and difficulty concentrating.
"My jealousy is tearing my relationships apart, it's a mess.",0,0,1,0,0,0,0,0,0,0,0,0,Indicates jealousy and trust issues in relationships.
"I can't stop obsessing over my appearance, it's crazy.",0,0,1,0,0,0,0,0,0,0,0,0,Signs of body dysmorphic concerns.
"I struggle to trust others, it's like a fortress.",0,0,1,0,0,0,0,0,0,0,0,0,Indicates trust issues and difficulty in building trust with others.
"I'm experiencing religious delusions, think I'm a prophet.",0,0,0,0,0,0,0,0,0,0,0,0,Signs of religious delusions and grandiosity.
"I can't control my impulses, it's like a rollercoaster.",1,0,0,0,0,0,0,0,0,1,0,0,Signs of impulse control issues and potential bipolar disorder.
"I'm always feeling paranoid, like I'm being watched.",0,0,1,0,0,0,0,0,0,0,0,0,Indicates paranoid thoughts and surveillance concerns.
"I've been doing some reckless stuff, it's like I'm daring life.",1,0,1,0,0,0,0,0,0,0,0,0,Suggests reckless behaviors as a form of self-destructive coping.
"I have vivid flashbacks of a traumatic incident, it's haunting.",0,0,1,0,0,0,0,0,0,0,1,0,Indicates traumatic flashbacks and potential PTSD.
"I'm constantly stressing over the little things, it's driving me nuts.",0,0,1,0,0,1,0,0,0,0,0,0,Indicates chronic anxiety and stress.
"I'm so drained, can't catch a wink of sleep, and my head's a mess.",0,1,0,0,0,0,0,0,0,0,0,0,Suggests sleep deprivation and cognitive exhaustion.
"I'm always feeling on edge, like something bad's about to happen.",0,0,1,0,0,0,0,0,0,0,0,0,Suggests constant anxiety and hypervigilance.
"I'm stuck in this dark pit, can't find joy in anything anymore.",1,0,0,1,0,0,0,0,0,0,0,0,Signs of emotional emptiness and depression.
I can't focus on anything for more than a hot second.,0,1,0,0,0,0,0,0,0,0,0,0,Indicates attention difficulties and restlessness.
"I'm having panic attacks left and right, it's freaking me out.",0,0,1,0,0,1,0,0,0,0,0,0,Suggests frequent panic attacks and anxiety.
I hear these voices in my head that seriously freak me out.,0,0,0,0,0,0,1,0,0,0,0,0,Indicates auditory hallucinations.
"I'm always irritable, snapping at folks for no reason.",0,0,1,0,0,0,0,0,0,0,0,0,Suggests irritability and potential anxiety.
"I can't stop counting things and checking stuff, it's bizarre.",0,0,0,0,0,0,1,0,0,0,0,0,Indicates obsessive-compulsive tendencies.
"It feels like I'm watching my life from the sidelines, strange.",0,0,0,0,0,0,0,0,0,0,0,0,Signs of depersonalization or disconnection.
"I'm eating non-stop, then feeling guilty as hell about it.",0,1,0,0,1,0,0,0,0,0,0,0,Indicates binge eating and guilt.
"I'm terrified to leave the house, fear just paralyzes me.",0,0,1,0,0,0,0,0,0,0,0,0,Suggests agoraphobia and fear of leaving home.
"I've resorted to self-harm to cope, it's messed up, I know.",0,0,0,0,0,0,0,0,1,0,0,0,Indicates self-harm as a coping mechanism.
"My mood's a rollercoaster, swinging from highs to lows.",1,0,0,0,0,0,0,0,0,1,0,0,Signs of extreme mood swings
"I'm getting angry over the tiniest things, it's frustrating.",0,0,0,0,0,0,0,0,0,0,0,0,Suggests difficulty with anger management.
"I'm always tired, no energy for anything, it's a drag.",0,1,0,1,0,0,0,0,0,0,0,0,Signs of fatigue
I'm too scared to go out without thinking the worst will happen.,0,0,1,0,0,0,0,0,0,0,0,0,Indicates anxiety related to safety concerns.
"I feel like a burden to everyone, utterly worthless.",1,0,0,1,0,0,0,0,0,0,0,0,Signs of low self-worth and potential depression.
"I'm obsessed with my looks, flaws drive me insane.",0,0,1,0,0,0,0,0,0,0,0,0,Signs of body dysmorphic concerns.
"I find it impossible to trust others, they always let me down.",0,0,1,0,0,0,0,0,0,0,0,0,Indicates trust issues and difficulty in building trust with others.
"I'm experiencing religious delusions, convinced I'm a prophet.",0,0,0,0,0,0,0,0,0,0,0,0,Signs of religious delusions or irrational beliefs.
"I'm tormented by memories of a traumatic incident, can't escape them.",0,0,1,0,0,0,0,0,0,0,1,0,Indicates traumatic flashbacks and potential PTSD symptoms.
"I feel like a burden to everyone around me, it's heavy.",1,0,0,1,0,0,0,0,0,0,0,0,Signs of self-perceived burden and depression.
"I can't stop scrolling through social media, it's like an addiction.",0,0,1,0,0,0,0,0,0,0,0,0,Suggests social media addiction and dependency.
